TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,AccountBalance,Cluster
14.09,Debit,San Diego,ATM,70.0,Doctor,81.0,5112.21,0
376.24,Debit,Houston,ATM,68.0,Doctor,141.0,13758.91,1
126.29000000000002,Debit,Mesa,Online,19.0,Student,56.0,1122.35,0
184.5,Debit,Raleigh,Online,26.0,Student,25.000000000000004,8569.06,0
13.45,Credit,Atlanta,Online,26.0,Student,198.0,7429.4,1
92.15,Debit,Oklahoma City,ATM,18.0,Student,172.0,781.68,0
7.08,Credit,Seattle,ATM,37.0,Doctor,139.0,13316.71,0
171.42,Credit,Indianapolis,Branch,67.0,Retired,291.0,2796.24,1
106.23,Credit,Detroit,Branch,51.0,Engineer,86.0,9095.14,1
815.96,Debit,Nashville,ATM,55.0,Doctor,120.0,1021.8800000000001,0
17.78,Credit,Albuquerque,Online,52.0,Engineer,59.00000000000001,7599.5199999999995,1
190.02,Debit,Memphis,Online,21.0,Student,173.0,1528.81,0
494.52,Credit,Mesa,Branch,24.0,Student,111.0,1620.02,0
781.76,Debit,Memphis,ATM,26.0,Student,123.0,189.69,0
166.99,Debit,Louisville,Online,18.0,Student,134.0,299.93,1
465.45,Debit,Denver,ATM,36.0,Engineer,129.0,3465.54,1
555.8,Credit,Austin,Branch,19.0,Student,158.0,1131.26,1
492.93000000000006,Debit,Columbus,Online,39.0,Engineer,234.0,5109.97,1
18.68,Credit,Albuquerque,Branch,59.0,Retired,106.0,7948.369999999999,1
71.48,Credit,Columbus,Online,18.0,Student,169.0,6568.59,1
59.32,Debit,Los Angeles,Branch,71.0,Retired,37.99999999999999,5750.89,1
85.77,Debit,Las Vegas,Branch,38.0,Doctor,93.0,9146.19,1
52.2,Debit,Atlanta,Online,39.0,Engineer,120.0,8974.93,1
345.84,Debit,Fort Worth,Online,22.0,Student,142.0,1402.5,1
145.54,Debit,Raleigh,Online,21.0,Student,96.0,1930.96,0
7.49,Credit,Houston,Online,65.0,Retired,276.0,3634.67,1
246.93,Debit,Miami,ATM,23.0,Student,158.0,673.3499999999999,0
